author,title,pages,year,booktitle,ee,crossref,url,genre
"['Patanamon Thongtanunam', 'Shane McIntosh', 'Ahmed E. Hassan', 'Hajimu Iida']","Review participation in modern code review: An empirical study of the Android, Qt, and OpenStack projects (journal-first abstract).",['475'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330241', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330241']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#ThongtanunamMHI18'],inproceedings
"['Farima Farmahinifarahani', 'Vaibhav Saini', 'Di Yang', 'Hitesh Sajnani', 'Cristina V. Lopes']",On Precision of Code Clone Detection Tools.,['84-94'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8668015'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#Farmahinifarahani19'],inproceedings
"['Eduard van der Bent', 'Jurriaan Hage', 'Joost Visser 0001', 'Georgios Gousios']",How good is your puppet? An empirically defined and validated quality model for puppet.,['164-174'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330206', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330206']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#BentHVG18'],inproceedings
"['Naoya Ujihara', 'Ali Ouni 0001', 'Takashi Ishio', 'Katsuro Inoue']",c-JRefRec: Change-based identification of Move Method refactoring opportunities.,['482-486'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884658', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884658']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#Ujihara0II17'],inproceedings
"['Peng Sun', 'Chris Brown', 'Ivan Beschastnikh', 'Kathryn T. Stolee']",Mining Specifications from Documentation using a Crowd.,['275-286'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8668025'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#SunBBS19'],inproceedings
['Mehdi Mirakhorli'],Software architecture reconstruction: Why? What? How?,['595'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081885', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081885']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#Mirakhorli15'],inproceedings
"['Hannes Thaller', 'Lukas Linsbauer', 'Alexander Egyed']",Feature Maps: A Comprehensible Software Representation for Design Pattern Detection.,['207-217'],2019,SANER,['https://doi.org/10.1109/SANER.2019.8667978'],['conf/wcre/2019'],['db/conf/wcre/saner2019.html#ThallerLE19'],inproceedings
['Jane Cleland-Huang'],On whose shoulders? (Keynote).,['1'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081808', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081808']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#Cleland-Huang15'],inproceedings
"['Vard Antinyan', 'Miroslaw Staron']",Proactive reviews of textual requirements.,['541-545'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884670', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884670']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#AntinyanS17'],inproceedings
"['Marc-André Laverdière', 'Bernhard J. Berger', 'Ettore Merlo']",Taint analysis of manual service compositions using Cross-Application Call Graphs.,['585-589'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081882', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081882']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#LaverdiereBM15'],inproceedings
"['Xuejiao Zhao', 'Zhenchang Xing', 'Muhammad Ashad Kabir', 'Naoya Sawada', 'Jing Li 0034', 'Shang-Wei Lin 0001']",HDSKG: Harvesting domain specific knowledge graph from content of webpages.,['56-67'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884609', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884609']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#ZhaoXKSLL17'],inproceedings
"['Francesca Arcelli Fontana', 'Jens Dietrich 0001', 'Bartosz Walter', 'Aiko Yamashita', 'Marco Zanoni']",Antipattern and Code Smell False Positives: Preliminary Conceptualization and Classification.,['609-613'],2016,SANER,"['https://doi.org/10.1109/SANER.2016.84', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2016.84']",['conf/wcre/2016'],['db/conf/wcre/saner2016.html#FontanaDWYZ16'],inproceedings
"['Chanchal K. Roy', 'James R. Cordy']",Benchmarks for software clone detection: A ten-year retrospective.,['26-37'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330194', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330194']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#RoyC18'],inproceedings
['Cynthia Dookie'],Building an Inclusive Distributed Ledger System.,['668-669'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054867'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#Dookie20'],inproceedings
"['Manishankar Mondal', 'Banani Roy', 'Chanchal K. Roy', 'Kevin A. Schneider']",HistoRank: History-Based Ranking of Co-change Candidates.,['240-250'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054869'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#MondalRRS20a'],inproceedings
"['Hongyu Kuang', 'Jia Nie', 'Hao Hu 0001', 'Patrick Rempel', 'Jian Lu 0001', 'Alexander Egyed', 'Patrick Mäder']",Analyzing closeness of code dependencies for improving IR-based Traceability Recovery.,['68-78'],2017,SANER,"['https://doi.org/10.1109/SANER.2017.7884610', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2017.7884610']",['conf/wcre/2017'],['db/conf/wcre/saner2017.html#KuangNHRLEM17'],inproceedings
"['Mathieu Nayrolles', 'Abdelwahab Hamou-Lhadj', 'Sofiène Tahar', 'Alf Larsson']",JCHARMING: A bug reproduction approach using crash traces and directed model checking.,['101-110'],2015,SANER,"['https://doi.org/10.1109/SANER.2015.7081820', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2015.7081820']",['conf/wcre/2015'],['db/conf/wcre/saner2015.html#NayrollesHTL15'],inproceedings
"['Maikel Leemans', 'Wil M. P. van der Aalst', 'Mark G. J. van den Brand']",Recursion aware modeling and discovery for hierarchical software event log analysis.,['185-196'],2018,SANER,"['https://doi.org/10.1109/SANER.2018.8330208', 'http://doi.ieeecomputersociety.org/10.1109/SANER.2018.8330208']",['conf/wcre/2018'],['db/conf/wcre/saner2018.html#LeemansAB18'],inproceedings
"['Syed Fatiul Huq', 'Ali Zafar Sadiq', 'Kazi Sakib']",Is Developer Sentiment Related to Software Bugs: An Exploratory Study on GitHub Commits.,['527-531'],2020,SANER,['https://doi.org/10.1109/SANER48275.2020.9054801'],['conf/wcre/2020'],['db/conf/wcre/saner2020.html#HuqSS20'],inproceedings
