author,title,pages,year,booktitle,ee,crossref,url,genre
"['Daryl Posnett', 'Christian Bird', 'Premkumar T. Devanbu']",THEX: Mining metapatterns from java.,['122-125'],2010,MSR,"['https://doi.org/10.1109/MSR.2010.5463349', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2010.5463349', 'https://www.wikidata.org/entity/Q57726792']",['conf/msr/2010'],['db/conf/msr/msr2010.html#PosnettBD10'],inproceedings
"['Sergey Zeltyn', 'Perri Tarr', 'Murray Cantor', 'Robert Delmonico', 'Sateesh Kannegala', 'Mila Keren', 'Ashok Pon Kumar', 'Segev Wasserkrug']",Improving efficiency in software maintenance.,['215-218'],2011,MSR,['https://doi.org/10.1145/1985441.1985474'],['conf/msr/2011'],['db/conf/msr/msr2011.html#ZeltynTCDKKKW11'],inproceedings
['Piërre van de Laar'],On the transfer of evolutionary couplings to industry.,['187-190'],2009,MSR,"['https://doi.org/10.1109/MSR.2009.5069502', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2009.5069502']",['conf/msr/2009'],['db/conf/msr/msr2009.html#Laar09'],inproceedings
"['Motahareh Bahrami Zanjani', 'Huzefa H. Kagdi', 'Christian Bird']",Using Developer-Interaction Trails to Triage Change Requests.,['88-98'],2015,MSR,"['https://doi.org/10.1109/MSR.2015.16', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2015.16', 'http://dl.acm.org/citation.cfm?id=2820532']",['conf/msr/2015'],['db/conf/msr/msr2015.html#ZanjaniKB15'],inproceedings
"['Tyson Bulmer', 'Lloyd Montgomery', 'Daniela E. Damian']",Predicting developers' IDE commands with machine learning.,['82-85'],2018,MSR,"['https://doi.org/10.1145/3196398.3196459', 'http://ieeexplore.ieee.org/document/8595185']",['conf/msr/2018'],['db/conf/msr/msr2018.html#BulmerMD18'],inproceedings
"['Christian Rodriguez-Bustos', 'Jairo Aponte']",How Distributed Version Control Systems impact open source software projects.,['36-39'],2012,MSR,"['https://doi.org/10.1109/MSR.2012.6224297', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2012.6224297', 'http://dl.acm.org/citation.cfm?id=2664452']",['conf/msr/2012'],['db/conf/msr/msr2012.html#Rodriguez-BustosA12'],inproceedings
"['Usman Ashraf', 'Christoph Mayr-Dorn', 'Alexander Egyed', 'Sebastiano Panichella']",A Mixed Graph-Relational Dataset of Socio-technical Interactions in Open Source Systems.,['538-542'],2020,MSR,['https://doi.org/10.1145/3379597.3387492'],['conf/msr/2020'],['db/conf/msr/msr2020.html#AshrafMEP20'],inproceedings
"['Emad Shihab', 'Yasutaka Kamei', 'Pamela Bhattacharya']",Mining challenge 2012: The Android platform.,['112-115'],2012,MSR,"['https://doi.org/10.1109/MSR.2012.6224307', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2012.6224307', 'http://dl.acm.org/citation.cfm?id=2664462']",['conf/msr/2012'],['db/conf/msr/msr2012.html#ShihabKB12'],inproceedings
"['Thorsten Merten', 'Bastian Mager', 'Simone Bürsner', 'Barbara Paech']",Classifying unstructured data into natural language text and technical information.,['300-303'],2014,MSR,['https://doi.org/10.1145/2597073.2597112'],['conf/msr/2014'],['db/conf/msr/msr2014.html#MertenMBP14'],inproceedings
"['Lucas Batista Leite de Souza', 'Marcelo de Almeida Maia']",Do software categories impact coupling metrics?,['217-220'],2013,MSR,"['https://doi.org/10.1109/MSR.2013.6624030', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2013.6624030', 'http://dl.acm.org/citation.cfm?id=2487128']",['conf/msr/2013'],['db/conf/msr/msr2013.html#SouzaM13'],inproceedings
"['Cássio Castaldi Araujo Blaz', 'Karin Becker']",Sentiment analysis in tickets for IT support.,['235-246'],2016,MSR,['https://doi.org/10.1145/2901739.2901781'],['conf/msr/2016'],['db/conf/msr/msr2016.html#BlazB16'],inproceedings
"['Gerardo Canfora', 'Luigi Cerulo']",Where is bug resolution knowledge stored?,['183-184'],2006,MSR,"['https://doi.org/10.1145/1137983.1138032', 'https://www.wikidata.org/entity/Q57752194']",['conf/msr/2006'],['db/conf/msr/msr2006.html#CanforaC06a'],inproceedings
"['Manishankar Mondal', 'Chanchal K. Roy', 'Kevin A. Schneider']",Prediction and ranking of co-change candidates for clones.,['32-41'],2014,MSR,['https://doi.org/10.1145/2597073.2597104'],['conf/msr/2014'],['db/conf/msr/msr2014.html#MondalRS14'],inproceedings
"['Daniel Izquierdo-Cortazar', 'Lars Kurth', 'Jesús M. González-Barahona', 'Santiago Dueñas', 'Nelson Sekitoleko']",Characterization of the Xen project code review process: an experience report.,['386-390'],2016,MSR,"['https://doi.org/10.1145/2901739.2901778', 'https://www.wikidata.org/entity/Q63739161']",['conf/msr/2016'],['db/conf/msr/msr2016.html#Izquierdo-Cortazar16'],inproceedings
"['Katja Kevic', 'Thomas Fritz 0001']",A dictionary to translate change tasks to source code.,['320-323'],2014,MSR,['https://doi.org/10.1145/2597073.2597095'],['conf/msr/2014'],['db/conf/msr/msr2014.html#KevicF14'],inproceedings
"['Abhishek Soni', 'Sarah Nadi']",Analyzing comment-induced updates on stack overflow.,['220-234'],2019,MSR,"['https://doi.org/10.1109/MSR.2019.00044', 'https://dl.acm.org/citation.cfm?id=3341923']",['conf/msr/2019'],['db/conf/msr/msr2019.html#SoniN19'],inproceedings
"['Antoine Pietri', 'Diomidis Spinellis', 'Stefano Zacchiroli']",The Software Heritage Graph Dataset: Large-scale Analysis of Public Software Development History.,['1-5'],2020,MSR,['https://doi.org/10.1145/3379597.3387510'],['conf/msr/2020'],['db/conf/msr/msr2020.html#PietriSZ20'],inproceedings
"['Iulian Neamtiu', 'Jeffrey S. Foster', 'Michael W. Hicks']",Understanding source code evolution using abstract syntax tree matching.,,2005,MSR,['https://doi.org/10.1145/1083142.1083143'],['conf/msr/2005'],['db/conf/msr/msr2005.html#NeamtiuFH05'],inproceedings
"['Patrick Kreutzer', 'Georg Dotzler', 'Matthias Ring', 'Björn M. Eskofier', 'Michael Philippsen']",Automatic clustering of code changes.,['61-72'],2016,MSR,['https://doi.org/10.1145/2901739.2901749'],['conf/msr/2016'],['db/conf/msr/msr2016.html#KreutzerDREP16'],inproceedings
"['Jason Tsay', 'Alan Braz', 'Martin Hirzel', 'Avraham Shinnar', 'Todd Mummert']",AIMMX: Artificial Intelligence Model Metadata Extractor.,['81-92'],2020,MSR,['https://doi.org/10.1145/3379597.3387448'],['conf/msr/2020'],['db/conf/msr/msr2020.html#TsayBHSM20'],inproceedings
"['Mahdis Zolfagharinia', 'Bram Adams', 'Yann-Gaël Guéhéneuc']",Do not trust build results at face value: an empirical study of 30 million CPAN builds.,['312-322'],2017,MSR,"['https://doi.org/10.1109/MSR.2017.7', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2017.7', 'http://dl.acm.org/citation.cfm?id=3104228']",['conf/msr/2017'],['db/conf/msr/msr2017.html#ZolfaghariniaAG17'],inproceedings
"['Sarah Rastkar', 'Gail C. Murphy']",On what basis to recommend: Changesets or interactions?,['155-158'],2009,MSR,"['https://doi.org/10.1109/MSR.2009.5069494', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2009.5069494']",['conf/msr/2009'],['db/conf/msr/msr2009.html#RastkarM09'],inproceedings
"['Hideaki Hata', 'Osamu Mizuno', 'Tohru Kikuno']",An extension of fault-prone filtering using precise training and a dynamic threshold.,['89-98'],2008,MSR,['https://doi.org/10.1145/1370750.1370772'],['conf/msr/2008'],['db/conf/msr/msr2008.html#HataMK08'],inproceedings
['Abraham Bernstein'],How to learn enough data mining to be dangerous in 60 minutes.,['77-78'],2008,MSR,['https://doi.org/10.1145/1370750.1370769'],['conf/msr/2008'],['db/conf/msr/msr2008.html#Bernstein08'],inproceedings
"['Mika V. Mäntylä', 'Nicole Novielli', 'Filippo Lanubile', 'Maëlick Claes', 'Miikka Kuutila']",Bootstrapping a lexicon for emotional arousal in software engineering.,['198-202'],2017,MSR,"['https://doi.org/10.1109/MSR.2017.47', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2017.47', 'http://dl.acm.org/citation.cfm?id=3104214', 'https://www.wikidata.org/entity/Q58146940']",['conf/msr/2017'],['db/conf/msr/msr2017.html#MantylaNLCK17'],inproceedings
"['Ehsan Kouroshfar', 'Mehdi Mirakhorli', 'Hamid Bagheri', 'Lu Xiao 0001', 'Sam Malek', 'Yuanfang Cai']",A Study on the Role of Software Architecture in the Evolution and Quality of Software.,['246-257'],2015,MSR,"['https://doi.org/10.1109/MSR.2015.30', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2015.30', 'http://dl.acm.org/citation.cfm?id=2820548']",['conf/msr/2015'],['db/conf/msr/msr2015.html#KouroshfarMBXMC15'],inproceedings
"['Mario Linares Vásquez', 'Gabriele Bavota', 'Camilo Escobar-Velasquez']",An empirical study on Android-related vulnerabilities.,['2-13'],2017,MSR,"['https://doi.org/10.1109/MSR.2017.60', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2017.60', 'http://dl.acm.org/citation.cfm?id=3104192']",['conf/msr/2017'],['db/conf/msr/msr2017.html#VasquezBE17'],inproceedings
['Dirk Beyer 0001'],Co-change visualization applied to PostgreSQL and ArgoUML: (MSR challenge report).,['165-166'],2006,MSR,['https://doi.org/10.1145/1137983.1138023'],['conf/msr/2006'],['db/conf/msr/msr2006.html#Beyer06'],inproceedings
"['Mauricio Soto', 'Ferdian Thung', 'Chu-Pan Wong', 'Claire Le Goues', 'David Lo 0001']","A deeper look into bug fixes: patterns, replacements, deletions, and additions.",['512-515'],2016,MSR,['https://doi.org/10.1145/2901739.2903495'],['conf/msr/2016'],['db/conf/msr/msr2016.html#SotoTWGL16'],inproceedings
"['Karan Aggarwal', 'Abram Hindle', 'Eleni Stroulia']",Co-evolution of project documentation and popularity within github.,['360-363'],2014,MSR,['https://doi.org/10.1145/2597073.2597120'],['conf/msr/2014'],['db/conf/msr/msr2014.html#AggarwalHS14'],inproceedings
"['Emanuel Giger', 'Martin Pinzger 0001', 'Harald C. Gall']",Comparing fine-grained source code changes and code churn for bug prediction.,['83-92'],2011,MSR,['https://doi.org/10.1145/1985441.1985456'],['conf/msr/2011'],['db/conf/msr/msr2011.html#GigerPG11'],inproceedings
"['Holger Schackmann', 'Horst Lichter']",Evaluating process quality in GNOME based on change request data.,['95-98'],2009,MSR,"['https://doi.org/10.1109/MSR.2009.5069485', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2009.5069485']",['conf/msr/2009'],['db/conf/msr/msr2009.html#SchackmannL09'],inproceedings
"['Paolo Calciati', 'Konstantin Kuznetsov', 'Alessandra Gorla', 'Andreas Zeller']",Automatically Granted Permissions in Android apps: An Empirical Study on their Prevalence and on the Potential Threats for Privacy.,['114-124'],2020,MSR,['https://doi.org/10.1145/3379597.3387469'],['conf/msr/2020'],['db/conf/msr/msr2020.html#CalciatiKGZ20'],inproceedings
"['Kim Herzig', 'Andreas Zeller']",Mining the Jazz repository: Challenges and opportunities.,['159-162'],2009,MSR,"['https://doi.org/10.1109/MSR.2009.5069495', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2009.5069495']",['conf/msr/2009'],['db/conf/msr/msr2009.html#HerzigZ09'],inproceedings
"['Mohammad Masudur Rahman 0001', 'Chanchal K. Roy']",An Insight into the Unresolved Questions at Stack Overflow.,['426-429'],2015,MSR,"['https://doi.org/10.1109/MSR.2015.55', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2015.55', 'http://dl.acm.org/citation.cfm?id=2820578']",['conf/msr/2015'],['db/conf/msr/msr2015.html#RahmanR15'],inproceedings
"['Emad Shihab', 'Zhen Ming Jiang', 'Ahmed E. Hassan']",On the use of Internet Relay Chat (IRC) meetings by developers of the GNOME GTK+ project.,['107-110'],2009,MSR,"['https://doi.org/10.1109/MSR.2009.5069488', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2009.5069488']",['conf/msr/2009'],['db/conf/msr/msr2009.html#ShihabJH09'],inproceedings
"['Shayan A. Akbar', 'Avinash C. Kak']",A Large-Scale Comparative Evaluation of IR-Based Tools for Bug Localization.,['21-31'],2020,MSR,['https://doi.org/10.1145/3379597.3387474'],['conf/msr/2020'],['db/conf/msr/msr2020.html#AkbarK20'],inproceedings
"['Chris Parnin', 'Carsten Görg']",Improving change descriptions with change contexts.,['51-60'],2008,MSR,['https://doi.org/10.1145/1370750.1370765'],['conf/msr/2008'],['db/conf/msr/msr2008.html#ParninG08'],inproceedings
"['Olga Baysal', 'Ian J. Davis', 'Michael W. Godfrey']",A Tale of Two Browsers.,['238-241'],2011,MSR,['https://doi.org/10.1145/1985441.1985481'],['conf/msr/2011'],['db/conf/msr/msr2011.html#BaysalDG11'],inproceedings
"['Jelber Sayyad-Shirabad', 'Timothy C. Lethbridge', 'Stan Matwin']",Mining the Software Change Repository of a Legacy Telephony System.,['53-57'],2004,MSR,,['conf/msr/2004'],['db/conf/msr/msr2004.html#Sayyad-Shirabad04'],inproceedings
"['Jun Gao 0001', 'Pingfan Kong', 'Li Li 0029', 'Tegawendé F. Bissyandé', 'Jacques Klein']",Negative results on mining crypto-API usage rules in Android apps.,['388-398'],2019,MSR,"['https://doi.org/10.1109/MSR.2019.00065', 'https://dl.acm.org/citation.cfm?id=3341948']",['conf/msr/2019'],['db/conf/msr/msr2019.html#GaoKLBK19'],inproceedings
"['Siddharth Subramanian', 'Reid Holmes']",Making sense of online code snippets.,['85-88'],2013,MSR,"['https://doi.org/10.1109/MSR.2013.6624012', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2013.6624012', 'http://dl.acm.org/citation.cfm?id=2487106']",['conf/msr/2013'],['db/conf/msr/msr2013.html#SubramanianH13'],inproceedings
"['Haoyu Wang 0001', 'Hao Li', 'Li Li 0029', 'Yao Guo 0001', 'Guoai Xu']",Why are Android apps removed from Google Play?: a large-scale empirical study.,['231-242'],2018,MSR,"['https://doi.org/10.1145/3196398.3196412', 'http://ieeexplore.ieee.org/document/8595206']",['conf/msr/2018'],['db/conf/msr/msr2018.html#WangLL0X18'],inproceedings
"['Ahmed Lamkanfi', 'Javier Pérez', 'Serge Demeyer']",The eclipse and mozilla defect tracking dataset: a genuine dataset for mining bug information.,['203-206'],2013,MSR,"['https://doi.org/10.1109/MSR.2013.6624028', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2013.6624028', 'http://dl.acm.org/citation.cfm?id=2487125']",['conf/msr/2013'],['db/conf/msr/msr2013.html#LamkanfiPD13'],inproceedings
"['Uriel Campos', 'Guilherme Smethurst', 'João Pedro Moraes', 'Rodrigo Bonifácio', 'Gustavo Pinto 0001']",Mining rule violations in JavaScript code snippets.,['195-199'],2019,MSR,"['https://doi.org/10.1109/MSR.2019.00039', 'https://dl.acm.org/citation.cfm?id=3341918']",['conf/msr/2019'],['db/conf/msr/msr2019.html#CamposSMB019'],inproceedings
"['Harold Valdivia Garcia', 'Emad Shihab']",Characterizing and predicting blocking bugs in open source projects.,['72-81'],2014,MSR,['https://doi.org/10.1145/2597073.2597099'],['conf/msr/2014'],['db/conf/msr/msr2014.html#GarciaS14'],inproceedings
['Megan Squire'],Project roles in the apache software foundation: a dataset.,['301-304'],2013,MSR,"['https://doi.org/10.1109/MSR.2013.6624042', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2013.6624042', 'http://dl.acm.org/citation.cfm?id=2487142']",['conf/msr/2013'],['db/conf/msr/msr2013.html#Squire13'],inproceedings
"['Beatrice Åkerblom', 'Jonathan Stendahl', 'Mattias Tumlin', 'Tobias Wrigstad']",Tracing dynamic features in python programs.,['292-295'],2014,MSR,['https://doi.org/10.1145/2597073.2597103'],['conf/msr/2014'],['db/conf/msr/msr2014.html#AkerblomSTW14'],inproceedings
"['Mark Grechanik', 'Kevin M. Conroy', 'Katharina Probst']",Finding Relevant Applications for Prototyping.,['12'],2007,MSR,"['https://doi.org/10.1109/MSR.2007.9', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2007.9', 'http://dl.acm.org/citation.cfm?id=1269026']",['conf/msr/2007'],['db/conf/msr/msr2007.html#GrechanikCP07'],inproceedings
"['Antoine Pietri', 'Guillaume Rousseau', 'Stefano Zacchiroli']",Forking Without Clicking: on How to Identify Software Repository Forks.,['277-287'],2020,MSR,['https://doi.org/10.1145/3379597.3387450'],['conf/msr/2020'],['db/conf/msr/msr2020.html#PietriRZ20'],inproceedings
"['Simon Butler 0001', 'Michel Wermelinger', 'Yijun Yu', 'Helen Sharp']",INVocD: identifier name vocabulary dataset.,['405-408'],2013,MSR,"['https://doi.org/10.1109/MSR.2013.6624056', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2013.6624056', 'http://dl.acm.org/citation.cfm?id=2487159']",['conf/msr/2013'],['db/conf/msr/msr2013.html#ButlerWYS13'],inproceedings
"['Yuhao Wu', 'Yuki Manabe 0001', 'Tetsuya Kanda 0001', 'Daniel M. Germán', 'Katsuro Inoue']",A Method to Detect License Inconsistencies in Large-Scale Open Source Projects.,['324-333'],2015,MSR,"['https://doi.org/10.1109/MSR.2015.37', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2015.37', 'http://dl.acm.org/citation.cfm?id=2820558']",['conf/msr/2015'],['db/conf/msr/msr2015.html#WuMKGI15'],inproceedings
"['Serge Demeyer', 'Alessandro Murgia', 'Kevin Wyckmans', 'Ahmed Lamkanfi']",Happy birthday! a trend analysis on past MSR papers.,['353-362'],2013,MSR,"['https://doi.org/10.1109/MSR.2013.6624049', 'http://doi.ieeecomputersociety.org/10.1109/MSR.2013.6624049', 'http://dl.acm.org/citation.cfm?id=2487151']",['conf/msr/2013'],['db/conf/msr/msr2013.html#DemeyerMWL13'],inproceedings
"['Omar El Zarif', 'Daniel Alencar da Costa', 'Safwat Hassan', 'Ying Zou 0001']",On the Relationship between User Churn and Software Issues.,['339-349'],2020,MSR,['https://doi.org/10.1145/3379597.3387456'],['conf/msr/2020'],['db/conf/msr/msr2020.html#ZarifCHZ20'],inproceedings
"['Rushikesh Amin', 'Mel Ó Cinnéide', 'Tony Veale']",LASER: A Lexical Approach to Analogy in Software Reuse.,['112-116'],2004,MSR,,['conf/msr/2004'],['db/conf/msr/msr2004.html#AminCV04'],inproceedings
